country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Life expectancy at birth (females/males, years)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Net Official Development Assist. received (% of GNI)
Palestine,WesternAsia,6020,4921,817.4,102.9,12677,3.5,2715.5,4.8,23.4,71.9,8.7,29.8,61.5,24.2,18.4/69.7,90,90,929,5058,-4128,-1713,2.7,75.3,2.8,4.2,74.8/71.1,39.6/4.6,255.5/5.5,~0.0,20.0,-99,-99,1.3,94.3/94.4,87.0/79.2,54.4/34.5,-99,77.6,57.4,31,1.5,2.8/0.6,9,15,50.7/81.5,93.0/90.2,17.52,-99
Panama,CentralAmerica,75320,4099,55.1,100.4,52132,5.8,13268.1,2.8,27.1,70.0,14.5,19.6,65.9,6.2,50.5/80.4,117,118,636,11697,-11061,-3377,1.7,66.6,2.1,2.6,80.5/74.3,27.4/11.4,184.7/4.7,21.5,15.2,8.0,1.6,3.2,100.9/103.5,78.3/72.9,46.5/31.2,18.3,174.2,51.2,383,62.3,8.8/2.3,31,35,97.7/88.6,83.5/58.0,0.02,-99
Paraguay,SouthAmerica,406752,6811,17.1,102.9,27714,3.1,4174.4,19.0,29.5,51.6,19.6,19.5,61.0,5.5,58.3/84.7,160,166,8494,9753,-1259,-462,1.3,59.7,2.1,2.6,74.9/70.7,29.4/9.4,156.5/2.4,0.2,28.8,9.8,1.3,5.0,104.3/107.6,79.1/74.2,.../...,13.8,105.4,44.4,59,39.4,5.7/0.9,325,38,100.0/94.9,95.5/78.4,0.22,-99
Peru,SouthAmerica,1285216,32166,25.1,99.8,190428,3.3,6069.1,7.6,33.3,59.2,24.4,17.3,58.3,5.3,66.1/82.8,145,148,36040,36185,-145,-9210,1.3,78.6,1.7,2.5,76.8/71.5,27.4/10.4,90.9/0.3,2.5,18.6,5.5,1.1,4.0,101.7/101.7,95.8/95.7,.../...,27.7,109.9,40.9,685,57.9,61.7/2.0,1020,30,91.4/69.2,82.5/53.2,0.18,-99
Philippines,South-easternAsia,300000,104918,351.9,101.3,292449,5.9,2904.2,10.5,31.3,58.2,27.7,16.3,56.1,5.9,50.8/78.9,122,120,56313,85909,-29596,7694,1.6,44.4,1.3,3.0,72.1/65.4,31.7/7.6,211.9/0.2,240.2,22.2,4.7,...,...,116.9/116.8,92.7/84.4,40.3/31.4,29.5,118.1,40.7,783,26.2,105.7/1.1,991,19,93.7/90.3,77.9/70.8,0.15,-99
Puerto Rico,Caribbean,8868,3663,413.0,92.6,102906,-~0.0,27939.0,0.8,50.0,49.1,2.0,17.5,80.5,12.8,34.4/51.7,110,111,-99,-99,-99,-99,-0.2,93.6,-0.2,1.5,83.2/75.2,17.9/20.4,275.0/7.5,-99,6.3,-99,-99,6.4,90.4/89.1,83.9/78.8,98.8/70.1,-99,87.1,79.5,126,55.5,-99,1,16,.../...,99.3/99.3,-99,-99
Rwanda,EasternAfrica,26338,12208,494.9,96.2,8096,6.9,697.3,34.6,15.1,50.3,75.0,7.2,17.8,2.4,86.1/83.3,139,139,622,1778,-1157,-1099,2.5,28.8,6.4,4.2,67.1/63.1,40.1/4.9,441.5/3.8,155.1,44.0,7.5,...,3.6,133.4/131.7,38.2/35.2,6.9/9.1,61.3,70.5,18.0,62,19.2,0.8/0.1,84,8,86.6/71.9,58.5/62.9,13.67,-99
Saint Vincent and the Grenadines,Caribbean,389,110,281.8,101.7,738,1.6,6739.2,7.5,17.2,75.3,22.1,16.1,61.8,19.1,56.4/76.9,115,115,47,335,-288,-210,~0.0,50.6,0.7,2.0,74.9/70.7,23.8/11.7,4.6/4.2,-99,16.5,8.6,...,...,103.2/105.8,105.0/107.9,-99,13.0,103.6,51.8,58,69.2,0.2/1.9,0,29,95.1/95.1,.../...,1.80,-99
Samoa,Polynesia,2842,196,69.4,106.6,774,2.8,4006.0,9.3,24.2,66.6,5.3,14.8,79.8,6.5,23.3/58.2,107,107,56,350,-294,-44,0.8,19.1,-0.2,4.2,77.4/71.1,36.6/8.5,4.9/2.6,~0.0,18.0,7.2,...,...,106.7/106.7,89.5/80.7,.../...,10.0,58.5,25.4,93,60.4,0.2/1.0,2,24,97.5/99.3,93.3/91.1,12.75,-99
Senegal,WesternAfrica,196712,15851,82.3,96.6,13633,6.5,901.1,15.5,24.1,60.4,51.4,20.7,27.9,9.3,45.3/70.5,126,127,2640,5478,-2838,-1348,3.0,43.7,3.6,5.0,67.5/63.8,42.9/4.7,263.2/1.7,17.6,43.9,4.7,...,7.4,86.9/77.6,49.1/50.2,7.8/12.9,42.7,100.0,21.7,123,43.2,8.9/0.6,77,11,92.9/67.3,65.4/33.8,6.49,-99
Sierra Leone,WesternAfrica,72300,7557,104.7,98.1,4483,-20.3,694.8,51.4,17.6,31.1,68.0,6.5,25.5,3.1,65.1/68.8,168,168,466,958,-492,-1317,2.3,39.9,2.7,4.8,50.7/49.6,42.1/4.2,91.2/1.4,0.8,94.4,11.1,...,2.7,128.2/127.0,40.1/46.5,.../...,12.4,89.5,2.5,177,41.3,1.3/0.2,53,11,84.9/47.8,22.8/6.9,21.56,-99
Solomon Islands,Melanesia,28896,611,21.8,103.4,1075,3.2,1841.6,28.2,15.6,56.3,48.1,2.4,49.5,31.4,61.1/73.5,118,118,437,454,-17,-36,2.1,22.3,4.2,4.1,71.1/68.3,38.8/5.4,2.6/0.4,~0.0,30.0,5.1,0.2,...,113.6/115.0,47.0/49.8,-99,2.0,72.7,10.0,245,78.3,0.2/0.4,3,11,93.2/77.2,81.4/15.0,16.47,-99
Somalia,EasternAfrica,637657,14742,23.5,99.3,1559,2.7,144.5,60.2,7.4,32.5,72.0,4.8,23.2,6.6,33.3/75.9,112,112,925,530,394,-99,2.9,39.6,4.1,6.6,56.5/53.3,46.4/4.4,25.3/0.2,1168.4,79.5,-99,~0.0,-99,.../...,.../...,-99,24.2,52.5,1.8,175,10.3,0.6/0.1,129,12,69.6/8.8,52.0/6.3,22.85,-99
South Africa,SouthernAfrica,1221037,56717,46.8,96.4,314571,1.3,5773.0,2.4,28.9,68.7,6.1,26.2,67.7,26.0,46.4/61.1,125,126,74111,74744,-633,-13644,1.4,64.8,1.6,2.6,63.0/56.1,29.0/8.4,3142.5/5.8,1201.9,36.5,8.8,0.8,6.0,97.3/102.2,111.5/88.0,23.3/15.7,42.2,159.3,51.9,581,7.6,489.8/9.1,7102,122,99.6/81.4,69.6/60.5,0.47,-99
South Sudan,EasternAfrica,658841,12576,20.6,100.4,13167,2.0,1067.0,4.6,58.0,37.4,-99,-99,-99,...,.../...,-99,-99,2389,750,1640,-935,3.3,18.8,5.1,5.2,56.0/54.1,41.7/5.1,824.1/6.7,2231.2,77.7,2.7,-99,1.8,53.1/74.9,6.6/12.3,-99,28.5,23.9,17.9,49,-99,1.5/0.1,337,2,66.7/56.9,16.4/4.5,21.07,-99
Suriname,SouthAmerica,163820,563,3.6,100.7,4879,-2.7,8985.3,11.4,27.4,61.1,3.4,22.3,74.3,9.9,40.5/68.6,152,152,1437,1244,193,-808,1.0,66.0,0.8,2.5,74.2/67.8,26.4/10.4,46.8/8.6,~0.0,17.4,5.7,...,-99,121.4/124.2,90.9/71.7,.../...,25.5,180.7,42.8,83,98.3,2.0/3.7,44,62,98.1/88.4,88.4/61.4,0.32,-99
Tajikistan,CentralAsia,142600,8921,63.7,100.9,7853,4.2,925.9,25.0,28.0,47.1,57.2,13.4,29.4,10.8,59.6/77.9,155,172,899,3030,-2132,-472,2.2,26.8,2.6,3.5,73.5/67.7,35.3/5.8,275.1/3.2,21.8,38.9,6.9,1.7,5.2,101.2/99.8,83.1/92.5,24.0/33.6,19.0,98.6,19.0,45,3.0,5.2/0.6,76,14,93.1/66.7,93.8/95.5,4.55,-99
Tanzania,EasternAfrica,947303,57310,64.7,97.8,45628,7.0,877.3,31.1,26.1,42.9,66.9,6.4,26.7,2.7,73.9/83.2,176,180,4742,7876,-3134,-3312,3.1,31.6,5.4,5.2,64.8/60.8,44.9/4.7,261.2/0.5,402.1,44.0,5.6,~0.0,3.5,82.9/80.5,30.8/33.7,2.5/4.9,36.4,75.9,5.4,1082,52.4,11.6/0.2,935,20,77.2/45.5,31.3/8.3,5.85,-99
Thailand,South-easternAsia,513120,69038,135.1,95.2,395168,2.8,5814.8,9.1,35.7,55.1,34.0,22.7,43.3,0.6,62.7/79.8,129,126,213927,195666,18260,32149,0.4,50.4,3.0,1.5,78.4/70.8,17.3/16.9,3913.3/5.8,554.1,11.2,4.1,...,4.1,99.2/106.1,125.3/132.6,57.3/40.5,4.9,125.8,39.3,611,32.0,316.2/4.7,3338,83,97.6/98.0,89.9/96.1,0.02,-99
The Democratic Republic of the Congo,MiddleAfrica,2344858,81340,35.9,99.6,37569,7.0,486.2,19.9,44.2,35.9,65.3,5.9,28.9,3.6,70.4/71.8,104,104,5103,5906,-803,-1546,3.3,42.5,4.0,6.4,59.5/56.7,46.3/4.7,545.7/0.7,2163.3,73.2,4.3,...,2.2,101.8/112.0,33.3/53.6,4.2/9.1,8.9,53.0,3.8,349,67.4,4.7/0.1,1179,16,81.1/31.2,28.5/28.7,8.01,-99
Timor-Leste,South-easternAsia,14919,1296,87.2,103.2,2873,4.3,2425.4,5.2,79.9,14.9,50.8,2.0,47.2,4.3,26.9/55.6,111,117,94,647,-553,238,2.2,32.8,3.8,5.9,69.5/66.1,43.6/5.4,10.8/0.9,~0.0,43.9,1.5,0.1,7.8,136.2/137.5,79.6/74.1,.../...,38.5,117.4,13.4,24,46.9,0.5/0.4,143,7,95.2/60.5,69.0/26.8,8.89,-99
Togo,WesternAfrica,56785,7798,143.4,99.4,4086,5.5,559.4,45.7,19.7,34.6,62.5,8.7,28.7,6.8,81.0/80.7,140,143,715,1716,-1001,-461,2.6,40.0,3.8,4.7,59.8/58.3,41.6/4.6,276.8/3.8,13.8,55.7,5.2,...,5.2,118.5/125.1,.../...,6.4/14.9,17.6,65.0,7.1,80,3.8,2.6/0.4,111,20,91.4/44.2,24.7/2.9,5.51,-99
Turkey,WesternAsia,783562,80745,104.9,97.0,717888,4.0,9125.8,8.6,26.4,65.0,19.6,27.5,52.9,10.8,30.4/71.4,120,122,142606,198602,-55996,-32278,1.6,73.4,2.0,2.1,78.1/71.5,25.0/12.0,2964.9/3.8,3006.3,12.6,5.4,1.7,4.8,102.1/102.8,101.1/103.8,88.3/101.0,14.9,96.0,53.7,388,15.1,346.0/4.5,1303,65,100.0/100.0,98.3/85.5,0.30,-99
Uganda,EasternAfrica,241550,42863,214.5,99.0,25282,5.4,647.7,25.6,21.5,52.9,72.0,7.4,20.5,2.4,82.3/87.7,93,90,2755,3750,-996,-2353,3.4,16.1,5.4,5.9,60.7/56.5,47.7/3.3,749.5/1.9,727.1,60.2,7.2,...,2.2,110.9/108.9,22.1/24.3,4.2/5.4,34.3,50.4,19.2,196,11.0,5.2/0.1,409,12,95.5/75.8,28.5/17.3,6.35,-99
Ukraine,EasternEurope,603500,44223,76.3,86.0,90615,-9.9,2021.6,14.0,26.3,59.7,15.7,24.6,59.7,8.8,52.3/67.5,137,137,36369,39184,-2815,-189,-0.5,69.7,-0.3,1.5,76.0/66.1,15.5/23.2,4834.9/10.8,1644.8,8.8,7.1,3.0,5.9,105.1/102.8,98.2/100.2,88.4/76.5,12.3,144.0,49.3,102,16.6,227.3/5.1,3203,98,95.5/97.8,97.4/92.6,1.63,-99
United States,NorthernAmerica,9833517,324460,35.5,98.0,18036648,2.6,56053.8,1.0,19.7,79.3,1.5,17.2,81.3,4.9,55.7/68.1,111,113,1453167,2249661,-796494,-462961,0.7,81.6,1.0,1.9,81.2/76.5,18.9/21.5,46627.1/14.5,616.5,6.0,17.1,2.6,5.4,100.0/100.3,98.5/96.7,99.6/72.8,19.1,117.6,74.6,1513,33.9,5254.3/16.2,83887,289,99.4/98.2,100.0/100.0,-99,-99
Vanuatu,Melanesia,12189,276,22.7,102.4,737,-1.0,2783.0,26.7,8.4,64.9,61.4,6.8,31.8,5.3,61.7/80.5,123,122,50,416,-366,-82,2.3,26.1,3.4,3.4,73.6/69.4,35.9/6.7,3.2/1.2,~0.0,24.3,5.0,0.2,5.5,118.7/120.6,56.4/53.4,.../...,0.0,66.2,22.4,137,36.1,0.2/0.6,1,12,98.9/92.9,65.1/55.4,12.32,-99
Vietnam,South-easternAsia,330967,95541,308.1,98.0,193241,6.7,2067.9,18.9,37.0,44.2,41.8,22.9,35.2,2.2,73.9/83.3,136,134,176632,174111,2520,906,1.1,33.6,3.0,2.0,80.3/70.7,23.1/11.1,72.8/0.1,11.0,19.3,7.1,1.2,5.7,108.4/109.3,-99,28.9/28.8,26.7,130.6,52.7,616,47.2,166.9/1.8,2977,30,99.1/96.9,94.4/69.7,1.73,-99
Virgin Islands,Caribbean,347,105,299.7,91.1,-99,-99,-99,-99,-99,-99,10.9,24.0,65.2,9.0,52.5/70.7,109,109,-99,-99,-99,-99,-0.2,95.3,0.3,2.3,81.5/76.7,20.1/25.3,56.7/53.4,-99,9.3,-99,-99,-99,-99,-99,-99,-99,...,54.8,58,50.6,-99,-99,-99,100.0/100.0,96.4/96.4,-99,-99
Yemen,WesternAsia,527968,28250,53.5,102.1,29688,-28.1,1106.4,14.7,36.9,48.4,32.9,17.9,49.2,16.1,26.2/73.7,136,137,570,6861,-6291,-3026,2.6,34.6,4.0,4.4,65.6/62.8,39.9/4.6,344.1/1.3,3371.4,47.2,5.6,0.3,...,88.9/105.7,39.5/57.4,6.1/13.7,0.0,68.0,25.1,298,1.0,22.7/0.9,668,12,72.0/46.5,92.5/34.1,2.99,-99
Zambia,EasternAfrica,752612,17094,23.0,98.5,21255,2.9,1311.1,8.2,32.3,59.5,54.8,9.9,35.3,7.4,69.9/80.9,179,180,6505,7442,-937,-768,3.0,40.9,4.3,5.2,61.9/57.5,44.8/3.7,127.9/0.8,55.3,53.8,5.0,0.2,...,104.0/103.3,-99,3.4/4.5,18.0,74.5,21.0,88,65.6,4.5/0.3,374,26,85.6/51.3,55.6/35.7,3.96,-99
Zimbabwe,EasternAfrica,390757,16530,42.7,95.0,13893,1.1,890.4,13.0,30.5,56.5,67.5,7.3,25.2,5.0,78.0/87.5,99,98,2832,5212,-2379,-1521,2.3,32.4,2.3,4.0,59.0/56.1,41.2/4.2,398.9/2.6,308.6,46.5,6.0,0.1,8.4,99.1/100.8,47.1/48.1,8.0/8.9,32.6,84.8,16.4,89,37.2,12.0/0.8,482,30,97.0/67.3,49.3/30.8,6.00,-99
